instancia16.txt_5_currentSA	instancia16.txt_5_bestSA	instancia16.txt_5_currentTS	instancia16.txt_5_bestTS	instancia16.txt_5_currentGrasp	instancia16.txt_5_bestGrasp	instancia16.txt_5_currentIG	instancia16.txt_5_bestIG	
116.2	82	68.6	68.6	68.2	68.2	0	0	
119.6	82	68.6	68.6	118.6	68.2	0	0	
119.6	82	68.6	68.6	118.6	68.2	0	0	
119.6	82	68.6	68.6	110.4	68.2	0	0	
115.6	82	68.6	68.6	106.4	68.2	0	0	
111.6	82	68.6	68.6	100.2	68.2	0	0	
111.6	82	68.6	68.6	98.2	68.2	0	0	
117.6	82	68.6	68.6	94.2	68.2	0	0	
117.6	82	68.6	68.6	92.2	68.2	0	0	
109.6	82	68.6	68.6	88.2	68.2	0	0	
109.6	82	68.6	68.6	84	68.2	0	0	
100.8	82	68.6	68.6	80	68.2	0	0	
98.6	82	68.6	68.6	78.2	68.2	0	0	
106.6	82	68.6	68.6	70.2	68.2	0	0	
98.8	82	68.6	68.6	68.2	68.2	0	0	
98.8	82	68.6	68.6	118.6	68.2	0	0	
99	82	68.6	68.6	118.6	68.2	0	0	
99	82	68.6	68.6	110.4	68.2	0	0	
99	82	68.6	68.6	106.4	68.2	0	0	
106.2	82	68.6	68.6	100.2	68.2	0	0	
112.2	82	68.6	68.6	98.2	68.2	0	0	
107.4	82	68.6	68.6	94.2	68.2	0	0	
95	82	68.6	68.6	92.2	68.2	0	0	
95	82	68.6	68.6	88.2	68.2	0	0	
95	82	68.6	68.6	84	68.2	0	0	
92.8	82	68.6	68.6	80	68.2	0	0	
95	82	68.6	68.6	78.2	68.2	0	0	
92.8	82	68.6	68.6	70.2	68.2	0	0	
90.8	82	68.6	68.6	68.2	68.2	0	0	
100.8	82	68.6	68.6	118.6	68.2	0	0	
105.4	82	68.6	68.6	118.6	68.2	0	0	
112.6	82	68.6	68.6	110.4	68.2	0	0	
106.4	82	68.6	68.6	106.4	68.2	0	0	
106.4	82	68.6	68.6	100.2	68.2	0	0	
106.4	82	68.6	68.6	98.2	68.2	0	0	
110.8	82	68.6	68.6	94.2	68.2	0	0	
114.4	82	68.6	68.6	92.2	68.2	0	0	
116.4	82	68.6	68.6	88.2	68.2	0	0	
118.8	82	68.6	68.6	84	68.2	0	0	
